,N,Affinity,Linkage,Covariance_Type,Time
357,5120,cosine,complete,spherical,17.239636421203613
358,10240,cosine,complete,spherical,84.94404864311218
359,20480,cosine,complete,spherical,348.82336044311523
360,40,cosine,average,full,1.3490872383117676
361,80,cosine,average,full,2.0460267066955566
362,160,cosine,average,full,2.0147969722747803
363,320,cosine,average,full,1.8576948642730713
364,640,cosine,average,full,1.2407536506652832
365,1280,cosine,average,full,2.3416876792907715
366,2560,cosine,average,full,5.247128963470459
367,5120,cosine,average,full,17.261960744857788
368,10240,cosine,average,full,64.96850085258484
369,20480,cosine,average,full,286.86247181892395
370,40,cosine,average,tied,1.2976818084716797
371,80,cosine,average,tied,1.4849834442138672
372,160,cosine,average,tied,2.1558635234832764
373,320,cosine,average,tied,2.4371559619903564
374,640,cosine,average,tied,4.014062166213989
375,1280,cosine,average,tied,6.450103998184204
376,2560,cosine,average,tied,15.270075798034668
377,5120,cosine,average,tied,35.17623686790466
378,10240,cosine,average,tied,97.76799654960632
379,20480,cosine,average,tied,359.9333860874176
380,40,cosine,average,diag,0.7875421047210693
381,80,cosine,average,diag,1.203171968460083
382,160,cosine,average,diag,1.1708056926727295
383,320,cosine,average,diag,1.5323891639709473
384,640,cosine,average,diag,0.8271341323852539
385,1280,cosine,average,diag,1.6399970054626465
386,2560,cosine,average,diag,4.527217626571655
387,5120,cosine,average,diag,16.447188138961792
388,10240,cosine,average,diag,64.52207279205322
389,20480,cosine,average,diag,284.36329412460327
390,40,cosine,average,spherical,1.063204288482666
391,80,cosine,average,spherical,1.2358365058898926
392,160,cosine,average,spherical,1.5085604190826416
393,320,cosine,average,spherical,1.8655195236206055
394,640,cosine,average,spherical,0.7495434284210205
395,1280,cosine,average,spherical,3.7797274589538574
396,2560,cosine,average,spherical,4.64424204826355
397,5120,cosine,average,spherical,31.370073080062866
398,10240,cosine,average,spherical,73.05833506584167
399,20480,cosine,average,spherical,353.6392080783844
400,40,cosine,single,full,1.3766214847564697
401,80,cosine,single,full,1.9683375358581543
402,160,cosine,single,full,2.935762405395508
403,320,cosine,single,full,5.249698162078857
404,640,cosine,single,full,6.8408918380737305
405,1280,cosine,single,full,11.27662205696106
406,2560,cosine,single,full,19.563282251358032
407,5120,cosine,single,full,45.57390737533569
408,10240,cosine,single,full,104.05939412117004
409,20480,cosine,single,full,241.6213059425354
410,40,cosine,single,tied,1.418940782546997
411,80,cosine,single,tied,1.6293518543243408
412,160,cosine,single,tied,1.9345221519470215
413,320,cosine,single,tied,3.2956557273864746
414,640,cosine,single,tied,4.998644828796387
415,1280,cosine,single,tied,7.519622802734375
416,2560,cosine,single,tied,14.193126916885376
417,5120,cosine,single,tied,31.041027545928955
418,10240,cosine,single,tied,80.0154721736908
419,20480,cosine,single,tied,226.2385914325714
420,40,cosine,single,diag,0.8403728008270264
421,80,cosine,single,diag,1.204468011856079
422,160,cosine,single,diag,1.670503854751587
423,320,cosine,single,diag,2.7959444522857666
424,640,cosine,single,diag,4.766760349273682
425,1280,cosine,single,diag,8.45066237449646
426,2560,cosine,single,diag,18.80683708190918
427,5120,cosine,single,diag,37.27647018432617
428,10240,cosine,single,diag,95.97924423217773
429,20480,cosine,single,diag,260.81973934173584
430,40,cosine,single,spherical,1.064955234527588
431,80,cosine,single,spherical,1.2069320678710938
432,160,cosine,single,spherical,1.6886041164398193
433,320,cosine,single,spherical,2.676783800125122
434,640,cosine,single,spherical,4.685814380645752
435,1280,cosine,single,spherical,8.232080936431885
436,2560,cosine,single,spherical,15.759281873703003
437,5120,cosine,single,spherical,35.185993909835815
438,10240,cosine,single,spherical,91.23400402069092
439,20480,cosine,single,spherical,261.7159399986267
