,N,Affinity,Linkage,Covariance_Type,Time
536,10240,cosine,complete,tied,0.8658773899078369
537,20480,cosine,complete,tied,1.3756260871887207
538,40960,cosine,complete,tied,2.561046838760376
539,81920,cosine,complete,tied,4.721579074859619
540,163840,cosine,complete,tied,8.90418291091919
541,327680,cosine,complete,tied,18.029820680618286
542,655360,cosine,complete,tied,37.396785736083984
543,1310720,cosine,complete,tied,76.41769456863403
544,40,cosine,complete,diag,0.035250186920166016
545,80,cosine,complete,diag,0.08477306365966797
546,160,cosine,complete,diag,0.05116391181945801
547,320,cosine,complete,diag,0.06280517578125
548,640,cosine,complete,diag,0.10264945030212402
549,1280,cosine,complete,diag,0.26544666290283203
550,2560,cosine,complete,diag,0.501457929611206
551,5120,cosine,complete,diag,0.6798334121704102
552,10240,cosine,complete,diag,0.8943135738372803
553,20480,cosine,complete,diag,1.3363089561462402
554,40960,cosine,complete,diag,2.704585552215576
555,81920,cosine,complete,diag,4.925488233566284
556,163840,cosine,complete,diag,9.854446411132812
557,327680,cosine,complete,diag,24.838953018188477
558,655360,cosine,complete,diag,37.157334327697754
559,1310720,cosine,complete,diag,75.73063397407532
560,40,cosine,complete,spherical,0.08520984649658203
561,80,cosine,complete,spherical,0.0937807559967041
562,160,cosine,complete,spherical,0.06390929222106934
563,320,cosine,complete,spherical,0.10987424850463867
564,640,cosine,complete,spherical,0.10495138168334961
565,1280,cosine,complete,spherical,0.22752690315246582
566,2560,cosine,complete,spherical,0.4891998767852783
567,5120,cosine,complete,spherical,1.062180757522583
568,10240,cosine,complete,spherical,1.5589659214019775
569,20480,cosine,complete,spherical,1.287304401397705
570,40960,cosine,complete,spherical,4.950912714004517
571,81920,cosine,complete,spherical,4.286230087280273
572,163840,cosine,complete,spherical,8.764230251312256
573,327680,cosine,complete,spherical,16.817835330963135
574,655360,cosine,complete,spherical,34.84258151054382
575,1310720,cosine,complete,spherical,76.07738280296326
576,40,cosine,average,full,0.054764747619628906
577,80,cosine,average,full,0.058118581771850586
578,160,cosine,average,full,0.06781768798828125
579,320,cosine,average,full,0.08979392051696777
580,640,cosine,average,full,0.11266970634460449
581,1280,cosine,average,full,0.2472553253173828
582,2560,cosine,average,full,0.5462732315063477
583,5120,cosine,average,full,0.663201093673706
584,10240,cosine,average,full,0.9153528213500977
585,20480,cosine,average,full,1.4398515224456787
586,40960,cosine,average,full,2.7176475524902344
587,81920,cosine,average,full,5.8305487632751465
588,163840,cosine,average,full,11.934991359710693
589,327680,cosine,average,full,23.746887683868408
590,655360,cosine,average,full,43.40670466423035
591,1310720,cosine,average,full,88.2885434627533
592,40,cosine,average,tied,0.039361000061035156
593,80,cosine,average,tied,0.09278225898742676
